Subject,Accuracy
0,72.22222222222221
1,94.44444444444444
2,94.44444444444444
3,69.44444444444444
4,91.66666666666666
5,94.44444444444444
6,97.22222222222221
7,80.55555555555556
8,88.88888888888889
9,86.11111111111111
10,75.0
11,97.22222222222221
12,76.19047619047619
13,83.33333333333334
14,94.44444444444444
15,85.71428571428571
16,100.0
17,88.88888888888889
