Subject,Accuracy
0,94.44444444444446
1,75.0
2,94.44444444444446
3,85.71428571428571
4,97.22222222222223
5,100.0
6,80.55555555555554
7,76.19047619047619
8,83.33333333333334
9,94.44444444444444
10,86.11111111111113
11,72.22222222222221
12,97.22222222222223
13,69.44444444444446
14,88.8888888888889
15,88.8888888888889
16,94.44444444444446
17,91.66666666666667
